"no","区市町村","name","郵便番号","address","phone","lng","lat"
"1","千代田区","東京逓信病院","〒102-8798","千代田区富士見2-14-23","03-5214-7111","139.74379","35.69690"
"2","千代田区","日本大学病院","〒101-8309","千代田区神田駿河台1-6","03-3293-1711","139.76266","35.69711"
"6","中央区","木挽町医院","〒104-0061","中央区銀座4-11-4","03-3541-3800","139.76837","35.67014"
"7","中央区","聖路加国際病院","〒104-8560","中央区明石町9-1","03-3541-5151","139.77722","35.66739"
"8","港区","東京慈恵会医科大学附属病院","〒105-8471","港区西新橋3-19-18","03-3433-1111","139.75143","35.66368"
"9","港区","国際医療福祉大学三田病院","〒108-8329","港区三田1-4-3","03-3451-8121","139.74274","35.65316"
"16","新宿区","独立行政法人地域医療機能推進機構東京新宿メディカルセンター","〒162-8543","新宿区津久戸町5-1","03-3269-8111","139.74167","35.70395"
"17","新宿区","東京女子医科大学病院","〒162-8666","新宿区河田町8-1","03-3353-8111","139.71954","35.69719"
"28","文京区","東京健生病院","〒112-0012","文京区大塚4-3-8","03-3944-6111","139.73584","35.72448"
"29","文京区","順天堂大学医学部附属順天堂医院","〒113-8431","文京区本郷3-1-3","03-3813-3111","139.76248","35.70240"
"35","台東区","公益財団法人ライフ・エクステンション研究所付属永寿総合病院","〒110-8645","台東区東上野2-23-16","03-3833-8381","139.77971","35.70954"
"36","台東区","医療法人社団全仁会上野病院","〒110-0015","台東区東上野3-23-4","03-3833-8111","139.77925","35.71135"
"41","墨田区","医療法人伯鳳会東京曳舟病院","〒131-0032","墨田区東向島2-27-1","03-5655-1120 ","139.81673","35.71740"
"42","墨田区","医療法人社団隆靖会墨田中央病院","〒131-0046","墨田区京島3-67-1","03-3617-1414","139.82632","35.71316"
"49","江東区","社会医療法人社団順江会江東病院","〒136-0072","江東区大島6-8-5","03-3685-2166","139.83446","35.69021"
"50","江東区","医療法人財団寿康会寿康会病院","〒136-0073","江東区北砂2-1-22","03-3645-9151","139.82628","35.67802"
"60","品川区","公益財団法人河野臨床医学研究所附属第三北品川病院","〒140-0001","品川区北品川3-3-7","03-3474-1831","139.73907","35.62114"
"61","品川区","医療法人財団岩井医療財団稲波脊椎・関節病院","〒140-0002","品川区東品川3-17-5","03-3450-1773","139.74950","35.61432"
"67","目黒区","国家公務員共済組合連合会三宿病院","〒153-0051","目黒区上目黒5-33-12","03-3711-5771","139.68567","35.64331"
"68","目黒区","医療法人社団菫会目黒病院","〒152-0001","目黒区中央町2-12-6","03-3711-5641","139.69087","35.63195"
"76","大田区","東邦大学医療センター大森病院","〒143-8541","大田区大森西6-11-1","03-3762-4151","139.72392","35.56871"
"77","大田区","社会医療法人財団仁医会牧田総合病院","〒143-8505","大田区大森北1-34-6","03-3762-4671","139.72710","35.58604"
"90","世田谷区","一般財団法人平和協会駒沢病院","〒154-0012","世田谷区駒沢2-2-15","03-3424-2515","139.66039","35.63381"
"91","世田谷区","医療法人社団さくら会世田谷中央病院","〒154-0017","世田谷区世田谷1-32-18","03-3420-7111","139.64978","35.64106"
"105","渋谷区","日本赤十字社医療センター","〒150-8935","渋谷区広尾4-1-22","03-3400-1311","139.71898","35.65362"
"106","渋谷区","クロス病院","〒151-0072","渋谷区幡ケ谷2-18-20","03-3376-2361","139.67479","35.67721"
"112","中野区","東京医療生活協同組合新渡戸記念中野総合病院","〒164-8607","中野区中央4-59-16","03-3382-1231","139.66679","35.70248"
"113","中野区","社会医療法人社団健友会中野共立病院","〒164-0001","中野区中野5-44-7","03-3386-3166","139.66750","35.70877"
"117","杉並区","医療法人財団荻窪病院","〒167-0035","杉並区今川3-1-24","03-3399-1101","139.60744","35.71516"
"118","杉並区","医療法人財団アドベンチスト会東京衛生アドベンチスト病院","〒167-8507","杉並区天沼3-17-3","03-3392-6151","139.61937","35.70866"
"127","豊島区","医療法人社団瑞雲会高田馬場病院","〒171-0033","豊島区高田3-8-9","03-3971-5114","139.70650","35.71474"
"128","豊島区","医療法人社団豊迪会大同病院","〒171-0033","豊島区高田3-22-8","03-3981-3213","139.71004","35.71441"
"140","北区","医療法人社団中央白報会白報会王子病院","〒114-0002","北区王子2-14-13","03-3912-6611","139.73676","35.75673"
"141","北区","王子生協病院","〒114-0003","北区豊島3-4-15","03-3912-2201","139.74402","35.76025"
"150","荒川区","社会医療法人一成会木村病院","〒116-0001","荒川区町屋2-3-7","03-3892-3161","139.78136","35.74435"
"151","荒川区","東京女子医科大学東医療センター","〒116-8567","荒川区西尾久2-1-10","03-3810-1111","139.76552","35.74821"
"155","板橋区","日本大学医学部附属板橋病院","〒173-8610","板橋区大谷口上町30-1","03-3972-8111","139.68997","35.74923"
"156","板橋区","公益財団法人東京都保健医療公社　豊島病院","〒173-0015","板橋区栄町33-1","03-5375-1234","139.70078","35.75290"
"177","練馬区","浩生会スズキ病院","〒176-0006","練馬区栄町7-1","03-3557-2001","139.67076","35.73702"
"178","練馬区","公益財団法人東京都医療保健協会　練馬総合病院","〒176-8530","練馬区旭丘1-24-1","03-5988-2200","139.67709","35.73351"
"210","足立区","医療法人社団忠医会大高病院","〒121-0815","足立区島根3-17-8","03-5856-7319","139.79620","35.77944"
"211","足立区","あやせ循環器リハビリ病院","〒120-0006","足立区谷中3-12-10","03-3605-2831","139.83446","35.77958"
"212","葛飾区","医療法人社団直和会平成立石病院","〒124-0012","葛飾区立石5-1-9","03-3692-2121","139.84174","35.74191"
"213","葛飾区","医療法人社団明芳会イムス東京葛飾総合病院","〒124-0025","葛飾区西新小岩4-18-1","03-5670-9901","139.85257","35.71885"
"221","江戸川区","医療法人社団晃山会松江病院","〒132-0025","江戸川区松江2-6-15","03-3652-3121","139.87094","35.69739"
"222","江戸川区","医療法人社団津端会京葉病院","〒132-0025","江戸川区松江2-43-12","03-3654-8211","139.87556","35.70245"